# lambda	flux
 2753.65 725.891
 2754.24 453.233
 2754.84 193.27
 2755.44 560.0
 2756.04 608.106
 2756.65 243.024
 2757.24 170.699
 2757.84 220.284
 2758.44 642.504
 2759.04 900.096
 2759.65 1888.46
 2760.24 1406.83
 2760.84 1394.59
 2761.44 2130.92
 2762.04 592.05
 2762.65 260.391
 2763.24 848.049
 2763.84 606.634
 2764.44 748.586
 2765.04 486.944
 2765.65 2619.84
 2766.24 1453.69
 2766.84 718.368
 2767.44 598.427
 2768.04 965.58
 2768.65 945.725
 2769.24 984.846
 2769.84 1174.68
 2770.44 250.583
 2771.04 1038.26
 2771.65 766.286
 2772.24 1252.73
 2772.84 213.898
 2773.44 924.72
 2774.04 778.001
 2774.65 800.291
 2775.24 1300.34
 2775.84 1438.91
 2776.44 1473.62
 2777.04 769.218
 2777.65 861.788
 2778.24 1261.74
 2778.84 635.136
 2779.44 268.434
 2780.04 646.628
 2780.65 466.944
 2781.24 664.286
 2781.84 496.366
 2782.44 431.035
 2783.04 730.023
 2783.65 358.934
