# lk ukf_m8iii uks_m8iii fh fl fm
# lRMS=43.84253693 iRMS=4.07691431 0
# 
5191.45 0.407716 0.000000 0.224445 0.000000 2.599915
5196.45 0.964356 0.000000 0.287230 0.000000 6.393120
5201.45 0.791195 0.000000 0.314588 0.000000 5.166229
5206.45 0.443977 0.000000 0.333410 0.000000 2.742135
5211.45 1.345903 0.000000 0.369667 0.000000 8.953765
5216.45 1.853970 0.000000 0.437058 0.000000 12.405887
5221.45 1.007609 0.000000 0.501123 0.000000 6.478856
5226.45 0.612258 0.000000 0.526328 0.000000 3.714950
5231.46 0.834172 0.000000 0.521006 0.000000 5.257525
5236.46 0.883462 0.000000 0.504114 0.000000 5.615867
5241.46 0.799085 0.000000 0.493235 0.000000 5.042237
5246.46 0.727759 0.000000 0.504358 0.000000 4.537022
5251.46 0.627444 0.000000 0.548480 0.000000 3.797996
5256.46 0.896143 0.000000 0.625422 0.000000 5.582403
5261.46 1.679805 0.000000 0.695310 0.000000 10.941147
5266.47 1.664117 0.000000 0.722715 0.000000 10.805065
