# lk ukf_k2iii uks_k2iii fh fse fl fk fc
# lRMS=0.002399086021 iRMS=0.0006689172587 0
# 
3445.99 0.095391 0.000000 0.095391 0.000000 0.000000 0.000000 0.000000
3450.99 0.104254 0.000000 0.104254 0.000000 0.000000 0.000000 0.000000
3455.99 0.112127 0.000000 0.112127 0.000000 0.000000 0.000000 0.000000
3460.99 0.114311 0.000000 0.114311 0.000000 0.000000 0.000000 0.000000
3465.99 0.109111 0.000000 0.109111 0.000000 0.000000 0.000000 0.000000
3470.99 0.103321 0.000000 0.103321 0.000000 0.000000 0.000000 0.000000
3475.99 0.103403 0.000000 0.103403 0.000000 0.000000 0.000000 0.000000
3481.00 0.105998 0.000000 0.105998 0.000000 0.000000 0.000000 0.000000
3486.00 0.107062 0.000000 0.107062 0.000000 0.000000 0.000000 0.000000
3491.00 0.109623 0.000000 0.109623 0.000000 0.000000 0.000000 0.000000
3496.00 0.116778 0.000000 0.116778 0.000000 0.000000 0.000000 0.000000
3501.00 0.124826 0.000000 0.124826 0.000000 0.000000 0.000000 0.000000
3506.00 0.128961 0.000000 0.128961 0.000000 0.000000 0.000000 0.000000
3511.00 0.128447 0.001949 0.128447 0.000000 0.000000 0.000000 0.000000
3516.01 0.121727 0.004114 0.121727 0.000000 0.000000 0.000000 0.000000
3521.01 0.117464 0.008360 0.117464 0.000000 0.000000 0.000000 0.000000
3526.01 0.117587 0.008999 0.117587 0.000000 0.000000 0.000000 0.000000
3531.01 0.125228 0.010853 0.125228 0.000000 0.000000 0.000000 0.000000
3536.01 0.134803 0.011931 0.134803 0.000000 0.000000 0.000000 0.000000
3541.01 0.139236 0.012395 0.139236 0.000000 0.000000 0.000000 0.000000
3546.01 0.133582 0.012758 0.133582 0.000000 0.000000 0.000000 0.000000
3551.01 0.122162 0.011910 0.122162 0.000000 0.000000 0.000000 0.000000
3556.02 0.113138 0.011840 0.113138 0.000000 0.000000 0.000000 0.000000
3561.02 0.107629 0.013376 0.107629 0.000000 0.000000 0.000000 0.000000
3566.02 0.100140 0.011639 0.100140 0.000000 0.000000 0.000000 0.000000
3571.02 0.091530 0.009831 0.091530 0.000000 0.000000 0.000000 0.000000
3576.02 0.085553 0.012817 0.085553 0.000000 0.000000 0.000000 0.000000
3581.02 0.080905 0.012158 0.080905 0.000000 0.000000 0.000000 0.000000
3586.02 0.083547 0.007988 0.083547 0.000000 0.000000 0.000000 0.000000
3591.02 0.100030 0.009317 0.100030 0.000000 0.000000 0.000000 0.000000
3596.03 0.124741 0.015157 0.124741 0.000000 0.000000 0.000000 0.000000
3601.03 0.138861 0.017280 0.138861 0.000000 0.000000 0.000000 0.000000
3606.03 0.132437 0.013521 0.132437 0.000000 0.000000 0.000000 0.000000
3611.03 0.134021 0.000000 0.134021 0.000000 0.000000 0.000000 0.000000
3616.03 0.138009 0.000000 0.138009 0.000000 0.000000 0.000000 0.000000
3621.03 0.152726 0.000000 0.152726 0.000000 0.000000 0.000000 0.000000
3626.03 0.174641 0.000000 0.174641 0.000000 0.000000 0.000000 0.000000
3631.03 0.179526 0.000000 0.179526 0.000000 0.000000 0.000000 0.000000
3636.04 0.179748 0.000000 0.179748 0.000000 0.000000 0.000000 0.000000
3641.04 0.190337 0.000000 0.190337 0.000000 0.000000 0.000000 0.000000
3646.04 0.187904 0.000000 0.187904 0.000000 0.000000 0.000000 0.000000
3651.04 0.192598 0.000000 0.192598 0.000000 0.000000 0.000000 0.000000
3656.04 0.223840 0.000000 0.223840 0.000000 0.000000 0.000000 0.000000
