# lk ukf_g5iv uks_g5iv fh fse fl
# iRMS=2.234972999e-05 0
# 
4936.38 1.035106 0.036754 1.035106 0.000000 0.000000
4941.38 1.031280 0.048343 1.031280 0.000000 0.000000
4946.38 1.075760 0.034626 1.075760 0.000000 0.000000
4951.38 1.095687 0.032426 1.095687 0.000000 0.000000
4956.38 1.074536 0.040754 1.074536 0.000000 0.000000
4961.38 1.055047 0.054300 1.055047 0.000000 0.000000
4966.39 1.066176 0.044643 1.066176 0.000000 0.000000
4971.39 1.063565 0.042573 1.063565 0.000000 0.000000
4976.39 1.069009 0.025618 1.069009 0.000000 0.000000
4981.39 1.033175 0.038821 1.033175 0.000000 0.000000
4986.39 1.013214 0.044791 1.013214 0.000000 0.000000
4991.39 1.030530 0.026667 1.030530 0.000000 0.000000
4996.39 1.037155 0.025414 1.037155 0.000000 0.000000
5001.39 1.026194 0.028526 1.026194 0.000000 0.000000
5006.40 0.993632 0.041288 0.993632 0.000000 0.000000
5011.40 0.981242 0.028970 0.981242 0.000000 0.000000
5016.40 0.957203 0.033245 0.957203 0.000000 0.000000
5021.40 0.961401 0.032967 0.961401 0.000000 0.000000
5026.40 0.986828 0.032003 0.986828 0.000000 0.000000
5031.40 1.007873 0.027823 1.007873 0.000000 0.000000
5036.40 1.006493 0.016328 1.006493 0.000000 0.000000
5041.41 0.977417 0.027109 0.977417 0.000000 0.000000
5046.41 0.988730 0.016202 0.988730 0.000000 0.000000
5051.41 1.008759 0.026653 1.008759 0.000000 0.000000
5056.41 1.037613 0.040114 1.037613 0.000000 0.000000
5061.41 1.069599 0.036170 1.069599 0.000000 0.000000
5066.41 1.052855 0.034453 1.052855 0.000000 0.000000
5071.41 1.028236 0.033524 1.028236 0.000000 0.000000
5076.41 1.009734 0.032202 1.009734 0.000000 0.000000
5081.42 0.982995 0.037943 0.982995 0.000000 0.000000
5086.42 1.001732 0.036488 1.001732 0.000000 0.000000
5091.42 1.032965 0.034805 1.032965 0.000000 0.000000
5096.42 1.031394 0.031054 1.031394 0.000000 0.000000
5101.42 1.007833 0.037684 1.007833 0.000000 0.000000
5106.42 1.006483 0.028781 1.006483 0.000000 0.000000
5111.42 1.001940 0.025310 1.001940 0.000000 0.000000
5116.43 1.029645 0.025045 1.029645 0.000000 0.000000
5121.43 1.033996 0.019885 1.033996 0.000000 0.000000
5126.43 0.998839 0.036931 0.998839 0.000000 0.000000
5131.43 0.983027 0.035488 0.983027 0.000000 0.000000
5136.43 0.976472 0.029495 0.976472 0.000000 0.000000
5141.43 0.965044 0.027041 0.965044 0.000000 0.000000
5146.43 0.962869 0.022560 0.962869 0.000000 0.000000
5151.43 0.963476 0.021254 0.963476 0.000000 0.000000
5156.44 0.974763 0.024834 0.974763 0.000000 0.000000
5161.44 0.965183 0.014663 0.965183 0.000000 0.000000
5166.44 0.872377 0.044697 0.872377 0.000000 0.000000
5171.44 0.806498 0.057310 0.806498 0.000000 0.000000
5176.44 0.852504 0.045558 0.852504 0.000000 0.000000
5181.44 0.894280 0.062329 0.894280 0.000000 0.000000
5186.44 0.877115 0.056877 0.877115 0.000000 0.000000
5191.45 0.910041 0.034206 0.910041 0.000000 0.000000
5196.45 0.940384 0.034991 0.940384 0.000000 0.000000
5201.45 0.978859 0.033623 0.978859 0.000000 0.000000
5206.45 0.967084 0.036923 0.967084 0.000000 0.000000
5211.45 0.973855 0.025251 0.973855 0.000000 0.000000
5216.45 0.999161 0.020361 0.999161 0.000000 0.000000
5221.45 1.007347 0.018444 1.007347 0.000000 0.000000
5226.45 0.980544 0.030979 0.980544 0.000000 0.000000
5231.46 0.962554 0.032751 0.962554 0.000000 0.000000
5236.46 0.991239 0.023446 0.991239 0.000000 0.000000
5241.46 1.025826 0.023450 1.025826 0.000000 0.000000
5246.46 1.037771 0.012233 1.037771 0.000000 0.000000
5251.46 1.031218 0.032135 1.031218 0.000000 0.000000
5256.46 1.036138 0.026978 1.036138 0.000000 0.000000
5261.46 1.012922 0.024177 1.012922 0.000000 0.000000
5266.47 0.924741 0.059406 0.924741 0.000000 0.000000
5271.47 0.884339 0.040574 0.884339 0.000000 0.000000
5276.47 0.919321 0.027632 0.919321 0.000000 0.000000
