# lk ukf_rk0v uks_rk0v fh fse fl fd fk fh_1
# lRMS=0.004504811484 iRMS=0.0003877604031 0
3481.00 0.281683 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3486.00 0.271372 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3491.00 0.273798 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3496.00 0.300051 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3501.00 0.328191 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3506.00 0.335169 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3511.00 0.335648 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3516.01 0.302789 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3521.01 0.290505 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3526.01 0.283277 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3531.01 0.298105 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3536.01 0.343404 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3541.01 0.365572 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3546.01 0.369142 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3551.01 0.356212 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3556.02 0.333324 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3561.02 0.308714 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3566.02 0.277905 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3571.02 0.235787 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3576.02 0.215394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3581.02 0.205598 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3586.02 0.193508 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3591.02 0.232672 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3596.03 0.301900 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3601.03 0.341958 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3606.03 0.317629 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3611.03 0.248236 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3616.03 0.249430 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3621.03 0.276494 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3626.03 0.311128 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3631.03 0.328463 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3636.04 0.341980 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3641.04 0.350365 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3646.04 0.321348 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3651.04 0.323819 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3656.04 0.406083 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3661.04 0.480594 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3666.04 0.483402 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3671.05 0.450788 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3676.05 0.412126 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3681.05 0.374300 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3686.05 0.366801 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3691.05 0.397784 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3696.05 0.440030 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3701.05 0.446924 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3706.05 0.405262 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3711.06 0.372177 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
