# lk ukf_k4v uks_k4v fh fse fl
# iRMS=7.326521882e-05 0
# 
4881.36 0.842169 0.026056 0.842169 0.000000 0.000000
4886.36 0.814146 0.038591 0.814146 0.000000 0.000000
4891.37 0.810114 0.057834 0.810114 0.000000 0.000000
4896.37 0.866328 0.046451 0.866328 0.000000 0.000000
4901.37 0.900039 0.011084 0.900039 0.000000 0.000000
4906.37 0.910982 0.021655 0.910982 0.000000 0.000000
4911.37 0.882066 0.015575 0.882066 0.000000 0.000000
4916.37 0.828612 0.031503 0.828612 0.000000 0.000000
4921.37 0.787918 0.043477 0.787918 0.000000 0.000000
4926.37 0.847442 0.026468 0.847442 0.000000 0.000000
4931.38 0.896068 0.030074 0.896068 0.000000 0.000000
4936.38 0.873721 0.019395 0.873721 0.000000 0.000000
4941.38 0.856917 0.046137 0.856917 0.000000 0.000000
4946.38 0.893899 0.027277 0.893899 0.000000 0.000000
4951.38 0.914023 0.020437 0.914023 0.000000 0.000000
4956.38 0.858229 0.018673 0.858229 0.000000 0.000000
4961.38 0.837093 0.032100 0.837093 0.000000 0.000000
4966.39 0.851105 0.031957 0.851105 0.000000 0.000000
4971.39 0.860426 0.009285 0.860426 0.000000 0.000000
4976.39 0.856251 0.012864 0.856251 0.000000 0.000000
4981.39 0.810209 0.027590 0.810209 0.000000 0.000000
4986.39 0.800265 0.015225 0.800265 0.000000 0.000000
4991.39 0.803277 0.020602 0.803277 0.000000 0.000000
4996.39 0.795580 0.020153 0.795580 0.000000 0.000000
5001.39 0.781247 0.016769 0.781247 0.000000 0.000000
5006.40 0.754608 0.007550 0.754608 0.000000 0.000000
5011.40 0.739853 0.007339 0.739853 0.000000 0.000000
5016.40 0.727262 0.004798 0.727262 0.000000 0.000000
5021.40 0.742645 0.011064 0.742645 0.000000 0.000000
5026.40 0.758202 0.012069 0.758202 0.000000 0.000000
5031.40 0.774356 0.017205 0.774356 0.000000 0.000000
5036.40 0.750451 0.008549 0.750451 0.000000 0.000000
5041.41 0.717635 0.027275 0.717635 0.000000 0.000000
5046.41 0.741068 0.026329 0.741068 0.000000 0.000000
5051.41 0.757613 0.002201 0.757613 0.000000 0.000000
5056.41 0.782084 0.011268 0.782084 0.000000 0.000000
5061.41 0.785047 0.015721 0.785047 0.000000 0.000000
5066.41 0.739747 0.011291 0.739747 0.000000 0.000000
5071.41 0.706580 0.020301 0.706580 0.000000 0.000000
5076.41 0.695753 0.025557 0.695753 0.000000 0.000000
5081.42 0.692903 0.011466 0.692903 0.000000 0.000000
5086.42 0.714084 0.011201 0.714084 0.000000 0.000000
5091.42 0.732705 0.020599 0.732705 0.000000 0.000000
5096.42 0.716342 0.006551 0.716342 0.000000 0.000000
5101.42 0.688228 0.015610 0.688228 0.000000 0.000000
5106.42 0.677515 0.023546 0.677515 0.000000 0.000000
5111.42 0.684025 0.021030 0.684025 0.000000 0.000000
5116.43 0.705869 0.014929 0.705869 0.000000 0.000000
5121.43 0.707400 0.001930 0.707400 0.000000 0.000000
5126.43 0.676572 0.025392 0.676572 0.000000 0.000000
5131.43 0.670856 0.033472 0.670856 0.000000 0.000000
5136.43 0.682272 0.030969 0.682272 0.000000 0.000000
5141.43 0.676047 0.008362 0.676047 0.000000 0.000000
5146.43 0.665758 0.015817 0.665758 0.000000 0.000000
5151.43 0.662011 0.022863 0.662011 0.000000 0.000000
5156.44 0.689727 0.000432 0.689727 0.000000 0.000000
5161.44 0.695383 0.019986 0.695383 0.000000 0.000000
5166.44 0.586881 0.034850 0.586881 0.000000 0.000000
5171.44 0.492250 0.049785 0.492250 0.000000 0.000000
5176.44 0.489550 0.027481 0.489550 0.000000 0.000000
5181.44 0.496410 0.008725 0.496410 0.000000 0.000000
5186.44 0.547597 0.005092 0.547597 0.000000 0.000000
5191.45 0.633752 0.040832 0.633752 0.000000 0.000000
5196.45 0.710320 0.051389 0.710320 0.000000 0.000000
5201.45 0.724865 0.042377 0.724865 0.000000 0.000000
5206.45 0.633251 0.035782 0.633251 0.000000 0.000000
5211.45 0.648584 0.084234 0.648584 0.000000 0.000000
5216.45 0.771162 0.084910 0.771162 0.000000 0.000000
5221.45 0.856714 0.053127 0.856714 0.000000 0.000000
5226.45 0.839184 0.008794 0.839184 0.000000 0.000000
5231.46 0.841938 0.057642 0.841938 0.000000 0.000000
5236.46 0.890608 0.051400 0.890608 0.000000 0.000000
5241.46 0.940107 0.038821 0.940107 0.000000 0.000000
5246.46 0.931242 0.016194 0.931242 0.000000 0.000000
5251.46 0.913332 0.018219 0.913332 0.000000 0.000000
5256.46 0.918988 0.004122 0.918988 0.000000 0.000000
5261.46 0.875295 0.020929 0.875295 0.000000 0.000000
5266.47 0.753320 0.047770 0.753320 0.000000 0.000000
5271.47 0.718407 0.075594 0.718407 0.000000 0.000000
5276.47 0.798925 0.083972 0.798925 0.000000 0.000000
